skills,interests,personality,career
coding,technology,introvert,Software Engineer
writing,media,extrovert,Content Writer
math,finance,analytical,Data Analyst
biology,healthcare,empathetic,Doctor
art,creativity,intuitive,Graphic Designer
communication,marketing,extrovert,Marketing Manager
problem-solving,engineering,introvert,Mechanical Engineer
teaching,education,empathetic,Teacher
research,science,analytical,Research Scientist
leadership,management,extrovert,Project Manager
logic,technology,introvert,Backend Developer
design,creativity,intuitive,UX Designer
persuasion,sales,extrovert,Sales Executive
negotiation,business,analytical,Business Analyst
counseling,psychology,empathetic,Therapist
drawing,art,intuitive,Illustrator
storytelling,media,extrovert,Journalist
data analysis,finance,analytical,Financial Analyst
helping,social work,empathetic,Social Worker
strategy,management,analytical,Management Consultant
programming,AI,introvert,ML Engineer
visualization,data,intuitive,Data Visualizer
editing,media,introvert,Video Editor
training,HR,extrovert,HR Manager
innovation,product,analytical,Product Manager
experimenting,science,introvert,Chemist
music,art,intuitive,Music Composer
negotiation,law,analytical,Lawyer
investigating,law,introvert,Detective
mentoring,education,empathetic,College Counselor
writing,books,introvert,Author
campaigning,politics,extrovert,Political Strategist
reporting,media,extrovert,News Reporter
forecasting,finance,analytical,Economist
networking,business,extrovert,Business Developer
troubleshooting,technology,introvert,IT Support
organizing,events,extrovert,Event Planner
planning,management,analytical,Operations Manager
supporting,healthcare,empathetic,Nurse
drawing,animation,intuitive,Animator
strategizing,sports,extrovert,Coach
coding,AI,introvert,AI Developer
visual storytelling,media,intuitive,Film Director
evaluating,business,analytical,Auditor
persuading,law,extrovert,Public Prosecutor
mentoring,corporate,empathetic,Corporate Trainer
problem-solving,technology,introvert,DevOps Engineer
research,market,analytical,Market Researcher
drawing,fashion,intuitive,Fashion Designer
